inhal,DB update status,Curator,level1,level2,level3,level4,level5,level6,level7,level8,PARENT TERMS (optional),HAS_FOR,TERM,DEFINITION,Mapping,EXACT SYNONYMS,BROAD SYNONYMS,NARROW SYNONYMS,RELATED SYNONYMS,DB_SYNONYMS,ASSOCIATED PROCESS,ASSOCIATED ROLE,ASSOCIATED PHYSIOLOGICAL EFFECT,ASSOCIATED BIOLOGICAL LOCATION,TERM SOURCE,ORIGINAL_DEFINITION_SOURCE,SOURCE_OF_DEFINITION,COMMENT,SUGGESTED MAIN TERM
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Cholangiocarcinoma,A cancer which affects the bile ducts; both inside and outside of the liver.,bile duct,,,,,,,,,,HMDB,,,is this just any hepatic cancer? also the term is plural making it odd to write a definition but Id change it if i knew what this term was for,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Infection or Infestation,Digestive System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Biliary tract infection,A disorder characterized by an infectious process involving the biliary tract. (NCI CTCAE),biliary tract,,,,,,,,,,,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Digestive System Disorder; Genetic Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Alagille Syndrome,"An autosomal dominant (Gene JAG1) disorder that traditionally has been defined by a paucity of intrahepatic bile ducts, in association with 5 main clinical abnormalities: cholestasis, cardiac disease, skeletal abnormalities, ocular abnormalities, and a characteristic facial phenotype.",bile duct,Intrahepatic biliary hypoplasia; Intrahepatic biliary paucity; Intrahepatic biliary atresia; Intralobular biliary atresia; Hepatic ductular hypoplasia;,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder; Urinary System Disorder,Hepatobiliary Disorder,Biliary Disorder,,,,Lithiasis,"A disorder characterized by the formation of stony concretions (calculi) in the body, most often in the gallbladder or urinary system.",gallbladder,Calculus,,,,,,,,,HMDB,,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Digestive System Disorder,Inborn Error of Metabolism; Hepatobiliary Disorder,Biliary Disorder,,,,Cerebrotendinous xanthomatosis,"An autosomal recessive (Gene CYP27A1) anomaly of bile acid synthesis characterized by neonatal cholestasis, childhood-onset cataract, adolescent to young adult-onset tendon xanthomata, and brain xanthomata with adult-onset neurologic dysfunction.",,CTX; Sterol 27-hydroxylase deficiency; Cerebrotendinous xanthomatosis (ORPHA:909),,,,DOID:4810,,,,,HMDB,Orphanet,,,
Modify,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Angina,"A disorder characterized by a sudden chest pain or pressure due to reduced supply of oxygen to the heart muscle, usually as a result of coronary ischemia. ",heart,Angina pectoris; Angina (NCI:C51221),,,,,,,,,HMDB,NCI thesaurus,TMIC team,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Cardiac arrest,A congestive heart failure characterized by a sudden stop in effective blood circulation due to the failure of the heart to contract effectively or at all.,heart,Cardiac arrest (DOID:0060319),Heart attack,,,,,,,,HMDB,Disease Ontology (DO),,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Cardiac arrhythmia,Any variation from the normal rate or rhythm (which may include the origin of the impulse and/or its subsequent propagation) in the heart.,heart,Cardiac dysrhythmia; Cardiac irregularities; Arrhythmia (NCI:C2881); abnromal heart rhythm',,,,,,,,,HMDB,NCI thesaurus,,,
Delete,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Cardiac ischemia,A disorder characterized by a restriction in blood supply to the heart tissue.,heart,Myocardial ischemia,,,,,,,,,HMDB,TMIC team,,synonym of myocardiac ischemia,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Cardiomyopathy,A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle. (DO),heart,,,,,DOID:0050700,,,,,,Disease Ontology (DO),,,
,,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Heart Defect,A structural defect of the heart which may lead to severe complications of heart function.,heart,,,,,,,,,,,,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Congestive heart failure,A heart disease that is characterized by any structural or functional cardiac disorder that impairs the ability of the heart to fill with or pump a sufficient amount of blood throughout the body. (DO),heart,CHF; chronic heart failure; congestive cardiac failure; CCF,,,,DOID:6000,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Heart disease,A cardiovascular system disease that involves the heart. (DO),heart,,,,,DOID:114,,,,,HMDB,Disease Ontology (DO),,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Heart failure,"A disorder characterized by the inability of the heart to pump blood at an adequate volume to meet tissue metabolic requirements, or, the ability to do so only at an elevation in the filling pressure. (NCI CTCAE)",heart,HF,,,,,,,,,HMDB,NCI CTCAE,,,
,,Naama; Yannick,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Heart murmur,An extra or unusual sound heard during a heartbeat caused vibrations resulting from the flow of blood through the heart,heart,"Heart murmur (HP:0011025); Heart Murmurs  (MeSH:D006337); Murmur, Cardiac; Murmurs, Cardiac; Cardiac murmur; Cardiac murmurs",,,,HP:0011025,,,,,human-phenotype-ontology,,TMIC team,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Myocardial infarction,A disorder characterized by gross necrosis of the myocardium; this is due to an interruption of blood supply to the area. (NCI CTCAE),heart; myocardium,MI; AMI; acute myocardial infarction; heart attack.,,,,,,,,,HMDB,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Myocarditis,A disorder characterized by inflammation of the muscle tissue of the heart. (NCI CTCAE),heart; myocardium,,,,,,,,,,,NCI CTCAE,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Sinus bradycardia,A disorder characterized by a dysrhythmia with a heart rate less than 60 beats per minute that originates in the sinus node. (NCI CTCAE),heart,,,,,,,,,,,NCI CTCAE,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Sinus tachycardia,A disorder characterized by a dysrhythmia with a heart rate greater than 100 beats per minute that originates in the sinus node. (NCI CTCAE),heart,sinus tachy,,,,,,,,,,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Ventricular arrhythmia,A disorder characterized by a dysrhythmia that originates in the ventricles. (NCI CTCAE),heart; ventricle,,,,,,,,,,,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Ventricular fibrillation,A disorder characterized by a dysrhythmia without discernible QRS complexes due to rapid repetitive excitation of myocardial fibers without coordinated contraction of the ventricles. (NCI CTCAE),heart; ventricle,v-fib; VF,,,,,,,,,,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Ventricular tachycardia,A disorder characterized by a dysrhythmia with a heart rate greater than 100 beats per minute that originates distal to the bundle of His. (NCI CTCAE),heart; ventricle,v-tach; VT,,,,,,,,,,NCI CTCAE,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Circulatory System Disorder; Respiratory System Disorder,Cardiovascular Disorder,Cardiac Disorder,,,,Cardiogenic pulmonary edema,A disorder characterized by a pulmonary edema that is caused by cardiac dysfunction.,heart,CPE,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,Infection or Infestation; System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Hepatic infection,A disorder characterized by an infectious process involving the liver. (NCI CTCAE),liver,,,,,,,,,,,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Hepatocellular adenoma,A disorder characterized by a benign tumor of the liver of presumably epithelial origin,liver,Hepatocellular adenoma (HP:0012028); Hepatic adenoma; Liver cell adenoma,,,,HP:0012028,,,,,human-phenotype-ontology,,,,
,,An Chi,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Acute liver disease,,liver,,,,,,,,,,HMDB,,,,
Modify,03/19/2018,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Acute liver failure,"A rapid loss of liver function resulting in jaundice, abdominal pain or swelling, nausea, vomiting and later death.",liver,Late onset hepatic failure; Subfulminant hepatic failure; Fulminant hepatic failure,,,,,,,,,,HMDB,,,
Modify,20-Jan-18,An Chi,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Alcoholic liver disease,,liver,,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Budd-Chiari syndrome,"A disorder characterized by occlusion of the hepatic veins and tytpically presents with abdominal pain, ascites and hepatomegaly. (NCI CTCAE)",liver; hepatic vein,Hepatic vein thrombosis; HVT,,,,,,,,,,NCI CTCAE,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Cholestasis,"Impairment of the bile flow caused by obstruction within the liver, or outside the liver in the bile duct system.",liver; bile duct,Cholestasis (NCI:C83006),,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Chronic hepatitis,A state in which symptoms of hepatitis last for several months and may increase in severity.,liver,,,,,,,,,,human-phenotype-ontology,,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Cirrhosis,"A disorder characterized by replacement of the liver parenchyma with fibrous tissue and regenerative nodules. It is usually caused by alcoholism, hepatitis B, and hepatitis C. Complications include the development of ascites, esophageal varices, bleeding, and hepatic encephalopathy.",liver,Liver cirrhosis; Cirrhosis (NCI:C2951),,,,,,,,,HMDB,NCI thesaurus,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Hepatic failure,"A disorder characterized by the inability of the liver to metabolize chemicals in the body. Laboratory test results reveal abnormal plasma levels of ammonia, bilirubin, lactic dehydrogenase, and alkaline phosphatase.  DILI as defined by Hy's Law. (NCI CTCAE)",liver,,,,,,,,,,,NCI CTCAE,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Hepatic necrosis,A disorder characterized by a necrotic process occurring in the hepatic parenchyma. (NCI CTCAE),liver,,,,,,,,,,,NCI CTCAE,,,
Modify,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Liver damage,,liver,,,,,,,,,,T3DB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Liver disease,A disorder characterized by any variety of factors leading to damage to the liver.,liver,Liver disease; hepatic disease.,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Liver failure,A disorder characterized by the inability of the liver to perform its normal synthetic and metabolic function.,liver,Hepatic insufficiency; Liver insufficiency,,,,,,,,,HMDB,,,,
,,Naama; Yannick,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Hepatoblastoma,A kind of neoplasm of the liver that originates from immature liver precursor cells and macroscopically is composed of tissue resembling fetal or mature liver cells or bile ducts.,liver,Hepatoblastoma (HP:0002884); Hepatoblastoma (MeSH:D018197); Hepatoblastoma (UMLS:C0206624),,,,HP:0002884,,,,,human-phenotype-ontology,,TMIC team,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Cancer,Digestive System Disorder,Hepatobiliary Disorder,Hepatic Disorder,,,,Hepatocellular carcinoma,A liver carcinoma that has material basis in undifferentiated hepatocytes. (DO),liver,HCC; Malignant hepatoma; Hepatocellular cancer,,,,DOID:684,,,,,HMDB,Disease Ontology (DO),,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder; Viral Infection,Hepatobiliary Disorder,Hepatic Disorder,,,,Hepatitis,A disorder characterized by an inflammation of the liver. (NCI CTCAE),liver,,,,,,,,,,HMDB,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Digestive System Disorder; Viral Infection,Hepatobiliary Disorder,Hepatic Disorder,,,,Neonatal hepatitis,A disorder characterized as an inflammation of the liver that occurs in early infancy.,liver,neonatal hepatitis syndrome; Idiopathic Neonatal Hepatitis.,,,,,,,,,HMDB,,,,
