id	karyotype	description	conditions	indication_types
12	t(11;14)(q13;q32)	Translocation: The segment from 11q13 to 11qter replaces the segment from 14q32 to 14qter and vice-versa.	Mantle Cell Lymphoma	Diagnostic
13	t(11;14)(q23;q32)	Translocation: The segment from 11q23 to 11qter replaces the segment from 14q32 to 14qter and vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
14	t(12;14)(p13;q32)	Translocation: The segment from 12p13 to 12pter replaces the segment from 14q32 to 14qter and vice-versa.	Mantle Cell Lymphoma	Diagnostic
17	t(14;18)(q32;q21)	Translocation: The segment from 14q32 to 14qter replaces the segment from 18q21 to 18qter and vice-versa.	Mantle Cell Lymphoma	Diagnostic
17	t(14;18)(q32;q21)	Translocation: The segment from 14q32 to 14qter replaces the segment from 18q21 to 18qter and vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
17	t(14;18)(q32;q21)	Translocation: The segment from 14q32 to 14qter replaces the segment from 18q21 to 18qter and vice-versa.	Malt Lymphoma	Diagnostic
19	t(14;19)(q32;q13)	Translocation: The segment from 14q32 to 14qter replaces the segment from 19q13 to 19qter and vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
19	t(14;19)(q32;q13)	Translocation: The segment from 14q32 to 14qter replaces the segment from 19q13 to 19qter and vice-versa.	Breast Cancer	Diagnostic
19	t(14;19)(q32;q13)	Translocation: The segment from 14q32 to 14qter replaces the segment from 19q13 to 19qter and vice-versa.	Melanoma	Diagnostic
20	t(14;22)(q32;q11)	Translocation: The segment from 14q32 to 14qter replaces the segment from 22q11 to 22qter and vice-versa.	Breast Cancer	Diagnostic
20	t(14;22)(q32;q11)	Translocation: The segment from 14q32 to 14qter replaces the segment from 22q11 to 22qter and vice-versa.	Diffuse Large B Cell Lymphoma	Diagnostic
21	t(9;22)(p24;q11)	Translocation: The segment from 9p24 to 9pter replaces the segment from 22q11 to 22qter and vice-versa.	Chronic Myeloid Leukemia	Diagnostic
22	t(8;9)(p22;p24)	Translocation: The segment from 8p22 to 8pter replaces the segment from 9p24 to 9pter and vice-versa.	Atypical Chronic Myeloid Leukemia	Diagnostic
22	t(8;9)(p22;p24)	Translocation: The segment from 8p22 to 8pter replaces the segment from 9p24 to 9pter and vice-versa.	Chronic Eosinophilic Leukemia	Diagnostic
23	t(9;12)(p24;p13)	Translocation: The segment from9p24to9pterreplaces the segment from12p13to12pterand vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
23	t(9;12)(p24;p13)	Translocation: The segment from9p24to9pterreplaces the segment from12p13to12pterand vice-versa.	Myeloproliferative Disorder	Diagnostic
24	t(4;22)(q12;q11)	Translocation: The segment from 4q12 to 4qter replaces the segment from 22q11 to 22qter and vice-versa.	Myeloproliferative Disorder	Diagnostic
25	t(4;10)(q12;p11)	Translocation: The segment from 4q12 to 4qter replaces the segment from 10p11 to 10pter and vice-versa.	Myeloproliferative Disorder	Diagnostic
26	ins(9;4)(q33;q12q25)	""	Chronic Eosinophilic Leukemia	Diagnostic
27	t(4;12)(q12;p13)	Translocation: The segment from4q12to4qterreplaces the segment from12p13to12pterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
29	t(5;12)(q33;p13)	Translocation: The segment from 5q33 to 5qter replaces the segment from 12p13 to 12pter and vice-versa.	Acute Myeloid Leukemia	Diagnostic
29	t(5;12)(q33;p13)	Translocation: The segment from 5q33 to 5qter replaces the segment from 12p13 to 12pter and vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
30	t(5;17)(q33;p13)	Translocation: The segment from 5q33 to 5qter replaces the segment from 17p13 to 17pter and vice-versa.	Juvenile Myelomonocytic Leukemia	Diagnostic
31	t(5;17)(q33;p11.2)	Translocation: The segment from 5q33 to 5qter replaces the segment from 17p11.2 to 17pter and vice-versa.	Juvenile Myelomonocytic Leukemia	Diagnostic
32	t(5;14)(q33;q32)	Translocation: The segment from 5q33 to 5qter replaces the segment from 14q32 to 14qter and vice-versa.	Acute Myeloid Leukemia	Diagnostic
33	t(5;14)(q33;q24)	Translocation: The segment from 5q33 to 5qter replaces the segment from 14q24 to 14qter and vice-versa.	Myeloproliferative Disorder	Diagnostic
34	t(5;15)(q33;q22)	Translocation: The segment from 5q33 to 5qter replaces the segment from 15q22 to 15qter and vice-versa.	Chronic Myeloid Leukemia	Diagnostic
36	t(5;7)(q33;q11.2)	Translocation: The segment from 5q33 to 5qter replaces the segment from 7q11.2 to 7qter and vice-versa.	Chronic Myeloid Leukemia	Diagnostic
37	t(5;10)(q33;q21)	Translocation: The segment from 5q33 to 5qter replaces the segment from 10q21 to 10qter and vice-versa.	Chronic Myeloid Leukemia	Diagnostic
40	t(5;12)(q33;q24)	Translocation: The segment from 5q33 to 5qter replaces the segment from 12q24 to 12qter and vice-versa.	Myeloproliferative Disorder	Diagnostic
42	t(4;5)(q21;q33)	Translocation: The segment from 4q21 to 4qter replaces the segment from 5q33 to 5qter and vice-versa.	Myeloproliferative Disorder	Diagnostic
43	t(8;13)(p11;q12)	Translocation: The segment from 8p11 to 8pter replaces the segment from 13q12 to 13qter and vice-versa.	Myeloproliferative Disorder	Diagnostic
44	t(6;8)(q27;p11)	Translocation: The segment from 6q27 to 6qter replaces the segment from 8p11 to 8pter and vice-versa.	Myeloproliferative Disorder	Diagnostic
45	t(8;9)(p11;q33)	Translocation: The segment from 8p11 to 8pter replaces the segment from 9q33 to 9qter and vice-versa.	Chromosome 8p11 Myeloproliferative Syndrome	Diagnostic
48	t(8;19)(p11;q13.3)	Translocation: The segment from8p11to8pterreplaces the segment from19q13.3to19qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
49	t(8;22)(p11;q11)	Translocation: The segment from8p11to8pterreplaces the segment from22q11to22qterand vice-versa.	Chronic Myeloid Leukemia	Diagnostic
50	t(1;7)(p34;q34)	Translocation: The segment from 1p34 to 1pter replaces the segment from 7q34 to 7qter and vice-versa.	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
51	t(1;7)(p32;q34)	Translocation: The segment from1p32to1pterreplaces the segment from7q34to7qterand vice-versa.	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
52	t(1;11)(p32;q23)	Translocation: The segment from1p32to1pterreplaces the segment from11q23to11qterand vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
52	t(1;11)(p32;q23)	Translocation: The segment from1p32to1pterreplaces the segment from11q23to11qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
52	t(1;11)(p32;q23)	Translocation: The segment from1p32to1pterreplaces the segment from11q23to11qterand vice-versa.	Myelodysplastic Syndromes	Diagnostic
53	t(1;14)(p32;q11)	""	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
55	t(1;19)(q23;p13.3)	Translocation: The segment from1q23to1qterreplaces the segment from19p13.3to19pterand vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
57	t(4;11)(q21;q23)	Translocation: The segment from4q21to4qterreplaces the segment from11q23to11qterand vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
58	t(5;14)(q35;q32)	Translocation: The segment from5q35to5qterreplaces the segment from14q32to14qterand vice-versa.	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
59	del(6)(q)	""	Acute Lymphoblastic Leukemia	Diagnostic
59	del(6)(q)	""	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
59	del(6)(q)	""	Chronic Lymphocytic Leukemia	Diagnostic
59	del(6)(q)	""	Waldenstrom Macroglobulinemia	Diagnostic
59	del(6)(q)	""	Acute Myeloid Leukemia	Diagnostic
59	del(6)(q)	""	Myelodysplastic Syndromes	Diagnostic
60	t(6;7)(q23;q34)	Translocation: The segment from6q23to6qterreplaces the segment from7q34to7qterand vice-versa.	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
61	t(6;11)(q27;q23)	""	Acute Lymphoblastic Leukemia	Diagnostic
62	t(6;14)(p22;q32)	Translocation: The segment from6p22to6pterreplaces the segment from14q32to14qterand vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
63	inv(7)(p15q34)	""	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
63	inv(7)(p15q34)	""	Non Hodgkin lymphoma	Diagnostic
65	t(7;14)(p15;q11)	Translocation: The segment from7p15to7pterreplaces the segment from14q11to14qterand vice-versa.	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
66	t(7;14)(p15;q32)	Translocation: The segment from7p15to7pterreplaces the segment from14q32to14qterand vice-versa.	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
68	i(7)(q10)	""	Acute Lymphoblastic Leukemia	Diagnostic
68	i(7)(q10)	""	Myelodysplastic Syndromes	Diagnostic
69	t(7;9)(q34;q32)	Translocation: The segment from7q34to7qterreplaces the segment from9q32to9qterand vice-versa.	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
70	t(7;9)(q34;q34.3)	Translocation: The segment from7q34to7qterreplaces the segment from9q34.3to9qterand vice-versa.	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
71	t(7;10)(q34;q24)	Translocation: The segment from7q34to7qterreplaces the segment from10q24to10qterand vice-versa.	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
73	t(7;11)(q34;p15)	Translocation: The segment from7q34to7qterreplaces the segment from 11p15to 11pterand vice-versa.	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
74	t(7;12)(q36;p13)	Translocation: The segment from7q36to7qterreplaces the segment from12p13to12pterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
75	t(7;19)(q34;p13)	Translocation: The segment from7q34to7qterreplaces the segment from19p13to19pterand vice-versa.	Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
76	t(8;14)(q11;q32)	Translocation: The segment from8q11to8qterreplaces the segment from14q32to14qterand vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
77	t(8;14)(q24;q11)	Translocation: The segment from8q24to8qterreplaces the segment from14q11to14qterand vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
78	t(8;22)(q24;q11)	Translocation: The segment from8q24to8qterreplaces the segment from22q11to22qterand vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
78	t(8;22)(q24;q11)	Translocation: The segment from8q24to8qterreplaces the segment from22q11to22qterand vice-versa.	Burkitt Lymphoma	Diagnostic
78	t(8;22)(q24;q11)	Translocation: The segment from8q24to8qterreplaces the segment from22q11to22qterand vice-versa.	Diffuse Large B Cell Lymphoma	Diagnostic
79	del(9)(p)	""	Acute Lymphoblastic Leukemia	Diagnostic
79	del(9)(p)	""	Acute Lymphoblastic Leukemia	Diagnostic
81	del(7)(q)	""	Myelodysplastic Syndromes	Diagnostic
81	del(7)(q)	""	Acute Myeloid Leukemia	Diagnostic
81	del(7)(q)	""	Myelodysplastic Syndromes	Diagnostic
81	del(7)(q)	""	Acute Myeloid Leukemia	Diagnostic
82	del(5)(q)	""	Acute Lymphoblastic Leukemia	Diagnostic
82	del(5)(q)	""	Myelodysplastic Syndromes	Diagnostic
83	del(20)(q)	""	Myelodysplastic Syndromes	Diagnostic
83	del(20)(q)	""	Acute Myeloid Leukemia	Diagnostic
83	del(20)(q)	""	Myeloproliferative Disorder	Diagnostic
85	del(13)(q)	""	Myeloproliferative Disorder	Diagnostic
85	del(13)(q)	""	Chronic Lymphocytic Leukemia	Diagnostic
86	del(11)(q)	""	Non Hodgkin lymphoma	Diagnostic
87	del(9)(q)	""	Acute Myeloid Leukemia	Diagnostic
88	idic(X)(q13)	""	Acute Myeloid Leukemia	Diagnostic
88	idic(X)(q13)	""	Myelodysplastic Syndromes	Diagnostic
89	t(1;3)(p36.3;q21)	Translocation: The segment from1p36.3to1pterreplaces the segment from3q21to3qterand vice-versa.	Chronic Myeloid Leukemia	Diagnostic
89	t(1;3)(p36.3;q21)	Translocation: The segment from1p36.3to1pterreplaces the segment from3q21to3qterand vice-versa.	Myelodysplastic Syndromes	Diagnostic
89	t(1;3)(p36.3;q21)	Translocation: The segment from1p36.3to1pterreplaces the segment from3q21to3qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
93	der(1;7)(q10;p10)	""	Myelodysplastic Syndromes	Diagnostic
93	der(1;7)(q10;p10)	""	Acute Myeloid Leukemia	Diagnostic
94	t(3;21)(q26.2;q22.1)	""	Chronic Myeloid Leukemia	Diagnostic
94	t(3;21)(q26.2;q22.1)	""	Myelodysplastic Syndromes	Diagnostic
94	t(3;21)(q26.2;q22.1)	""	Acute Myeloid Leukemia	Diagnostic
96	t(1;3)(p36;q21)	Translocation: The segment from1p36to1pterreplaces the segment from3q21to3qterand vice-versa.	Myelodysplastic Syndromes	Diagnostic
96	t(1;3)(p36;q21)	Translocation: The segment from1p36to1pterreplaces the segment from3q21to3qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
98	t(1;11)(q21;q23)	Translocation: The segment from1q21to1qterreplaces the segment from11q23to11qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
100	inv(3)(q21q26)	""	Acute Myeloid Leukemia	Diagnostic
102	t(3;12)(q26;p13)	Translocation: The segment from 3q26to 3qterreplaces the segment from12p13to12pterand vice-versa.	Myelodysplastic Syndromes	Diagnostic
102	t(3;12)(q26;p13)	Translocation: The segment from 3q26to 3qterreplaces the segment from12p13to12pterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
102	t(3;12)(q26;p13)	Translocation: The segment from 3q26to 3qterreplaces the segment from12p13to12pterand vice-versa.	Chronic Myeloid Leukemia	Diagnostic
103	t(3;21)(q26;q22)	Translocation: The segment from3q26to3qterreplaces the segment from21q22to21qterand vice-versa.	Myelodysplastic Syndromes	Diagnostic
103	t(3;21)(q26;q22)	Translocation: The segment from3q26to3qterreplaces the segment from21q22to21qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
103	t(3;21)(q26;q22)	Translocation: The segment from3q26to3qterreplaces the segment from21q22to21qterand vice-versa.	Chronic Myeloid Leukemia	Diagnostic
107	t(5;17)(q35;q21)	Translocation: The segment from5q35to5qterreplaces the segment from17q21to17qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
108	t(6;9)(p22;q34)	""	Acute Myeloid Leukemia	Diagnostic
108	t(6;9)(p22;q34)	""	Myelodysplastic Syndromes	Diagnostic
108	t(6;9)(p22;q34)	""	Acute Myeloid Leukemia	Diagnostic
108	t(6;9)(p22;q34)	""	Myelodysplastic Syndromes	Diagnostic
109	t(7;11)(p15;p15)	Translocation: The segment from7p15to7pterreplaces the segment from11p15to11pterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
111	t(8;16)(p11;p13)	Translocation: The segment from8p11to8pterreplaces the segment from16p13to16pterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
112	t(8;21)(q22;q22)	Translocation: The segment from8q22to8qterreplaces the segment from21q22to21qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
113	t(9;11)(p21;q23)	""	Acute Myeloid Leukemia	Diagnostic
114	t(9;22)(q34;q11)	Translocation: The segment from9q34to9qterreplaces the segment from22q11to22qterand vice-versa.	Acute Lymphoblastic Leukemia	Diagnostic
114	t(9;22)(q34;q11)	Translocation: The segment from9q34to9qterreplaces the segment from22q11to22qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
114	t(9;22)(q34;q11)	Translocation: The segment from9q34to9qterreplaces the segment from22q11to22qterand vice-versa.	Chronic Myeloid Leukemia	Diagnostic
117	inv(11)(p15q22)	""	Acute Myeloid Leukemia	Diagnostic
117	inv(11)(p15q22)	""	Chronic Myeloid Leukemia	Diagnostic
117	inv(11)(p15q22)	""	Myelodysplastic Syndromes	Diagnostic
120	t(11;17)(q23;q21)	Translocation: The segment from11q23to11qterreplaces the segment from17q21to17qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
121	t(11;17)(q23;q25)	""	Acute Myeloid Leukemia	Diagnostic
121	t(11;17)(q23;q25)	""	Acute Lymphoblastic Leukemia	Diagnostic
121	t(11;17)(q23;q25)	""	Myelodysplastic Syndromes	Diagnostic
122	t(11;19)(q23;p13.1)	Translocation: The segment from11q23to11qterreplaces the segment from19p13.1to19pterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
123	t(11;19)(q23;p13.3)	""	Acute Myeloid Leukemia	Diagnostic
123	t(11;19)(q23;p13.3)	""	Acute Lymphoblastic Leukemia	Diagnostic
125	t(15;17)(q22;q21)	Translocation: The segment from15q22to15qterreplaces the segment from17q21to17qterand vice-versa.	Myelodysplastic Syndromes	Diagnostic
125	t(15;17)(q22;q21)	Translocation: The segment from15q22to15qterreplaces the segment from17q21to17qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
126	inv(16)(p13q22)	""	Acute Myeloid Leukemia	Diagnostic
126	inv(16)(p13q22)	""	Myelodysplastic Syndromes	Diagnostic
127	t(16;21)(p11;q22)	Translocation: The segment from16p11to16pterreplaces the segment from21q22to21qterand vice-versa.	Acute Myeloid Leukemia	Diagnostic
127	t(16;21)(p11;q22)	Translocation: The segment from16p11to16pterreplaces the segment from21q22to21qterand vice-versa.	Ewing Sarcoma	Diagnostic
128	i(17)(q10)	""	Myelodysplastic Syndromes	Diagnostic
128	i(17)(q10)	""	Myeloproliferative Disorder	Diagnostic
131	t(2;14)(p13-16;q32)		Chronic Lymphocytic Leukemia	Diagnostic
132	t(1;5)(q21-23;q31-33)		Myelodysplastic Syndromes	Diagnostic
132	t(1;5)(q21-23;q31-33)		Myeloproliferative Disorder	Diagnostic
133	t(5;16)(q32;p13)		Myelodysplastic Syndromes	Diagnostic
133	t(5;16)(q32;p13)		Myeloproliferative Disorder	Diagnostic
134	dup(1)(q11-q44)		Acute Myeloid Leukemia	Diagnostic
134	dup(1)(q11-q44)		Myeloproliferative Disorder	Diagnostic
135	dic(7;9)(p11-13;p11)		Acute Lymphoblastic Leukemia	Diagnostic
136	dic(7;9)(p11-12;p12-13)		Acute Lymphoblastic Leukemia	Diagnostic
137	dic(9;12)(p13;p13)		Acute Lymphoblastic Leukemia	Diagnostic
138	dic(5;17)(q11-14;p11-13)		Myelodysplastic Syndromes	Diagnostic
138	dic(5;17)(q11-14;p11-13)		Acute Myeloid Leukemia	Diagnostic
139	Trisomy 4		Acute Myeloid Leukemia	Diagnostic
139	Trisomy 4		Acute Lymphoblastic Leukemia	Diagnostic
140	Trisomy 11		Acute Myeloid Leukemia	Diagnostic
140	Trisomy 11		Myelodysplastic Syndromes	Diagnostic
141	Trisomy 13		Acute Myeloid Leukemia	Diagnostic
141	Trisomy 13		Acute Lymphoblastic Leukemia	Diagnostic
141	Trisomy 13		Chronic Myeloid Leukemia	Diagnostic
141	Trisomy 13		Myelodysplastic Syndromes	Diagnostic
142	Trisomy 21		Acute Myeloid Leukemia	Diagnostic
142	Trisomy 21		Myelodysplastic Syndromes	Diagnostic
142	Trisomy 21		Acute Lymphoblastic Leukemia	Diagnostic
142	Trisomy 21		Down Syndrome	Diagnostic
143	Trisomy 22		Acute Myeloid Leukemia	Diagnostic
144	t(1;11)(q24;p15)		Acute Myeloid Leukemia	Diagnostic
144	t(1;11)(q24;p15)		Chronic Myeloid Leukemia	Diagnostic
145	der(11)t(1;11)(q11-23;q14-25)		Acute Myeloid Leukemia	Diagnostic
145	der(11)t(1;11)(q11-23;q14-25)		Myelodysplastic Syndromes	Diagnostic
145	der(11)t(1;11)(q11-23;q14-25)		Acute Lymphoblastic Leukemia	Diagnostic
145	der(11)t(1;11)(q11-23;q14-25)		Multiple Myeloma	Diagnostic
146	del(5q)		Chromosome 5q Deletion Syndrome	Diagnostic
146	del(5q)		Acute Myeloid Leukemia	Diagnostic
147	Trisomy 8		Chronic Myeloid Leukemia	Diagnostic
147	Trisomy 8		Myelodysplastic Syndromes	Diagnostic
147	Trisomy 8		Juvenile Myelomonocytic Leukemia	Diagnostic
147	Trisomy 8		Acute Myeloid Leukemia	Diagnostic
147	Trisomy 8		Acute Lymphoblastic Leukemia	Diagnostic
147	Trisomy 8		Wilms Tumor	Diagnostic
147	Trisomy 8		Ewing Sarcoma	Diagnostic
147	Trisomy 8		Non Hodgkin lymphoma	Diagnostic
148	t(3;5)(q25.1;q34)		Acute Myeloid Leukemia	Diagnostic
149	inv(3)(q21;q26)		Acute Myeloid Leukemia	Diagnostic
149	inv(3)(q21;q26)		Chronic Myeloid Leukemia	Diagnostic
150	dic(1;15)(p11;p11)		Myelodysplastic Syndromes	Diagnostic
150	dic(1;15)(p11;p11)		Myeloproliferative Disorder	Diagnostic
151	t(Y;1)(q12;q12)		Myelodysplastic Syndromes	Diagnostic
152	t(1;16)(q11;q11)		Myelodysplastic Syndromes	Diagnostic
153	del(12)(p)		Acute Lymphoblastic Leukemia	Diagnostic
153	del(12)(p)		Acute Myeloid Leukemia	Diagnostic
154	t(11;16)(q23;p13.3)		Myelodysplastic Syndromes	Diagnostic
154	t(11;16)(q23;p13.3)		Acute Myeloid Leukemia	Diagnostic
155	Y loss in Leukemia		Myeloproliferative Disorder	Diagnostic
155	Y loss in Leukemia		Myelodysplastic Syndromes	Diagnostic
156	t(12;22)(p13;q12)		Acute Myeloid Leukemia	Diagnostic
156	t(12;22)(p13;q12)		Myelodysplastic Syndromes	Diagnostic
156	t(12;22)(p13;q12)		Acute Lymphoblastic Leukemia	Diagnostic
157	del(17)(p)		Acute Lymphoblastic Leukemia	Diagnostic
157	del(17)(p)		Myelodysplastic Syndromes	Diagnostic
157	del(17)(p)		Chronic Myeloid Leukemia	Diagnostic
158	Trisomy 9		Acute Lymphoblastic Leukemia	Diagnostic
158	Trisomy 9		Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
159	Trisomy 16		Acute Lymphoblastic Leukemia	Diagnostic
159	Trisomy 16		Acute Myeloid Leukemia	Diagnostic
159	Trisomy 16		Myelodysplastic Syndromes	Diagnostic
160	der(6)t(1;6)(q21-23;p21)		Myeloproliferative Disorder	Diagnostic
160	der(6)t(1;6)(q21-23;p21)		Chronic Lymphocytic Leukemia	Diagnostic
161	del(1)(q21.1)		1q21.1 microdeletion syndrome	Diagnostic
161	del(1)(q21.1)		TAR Syndrome	Diagnostic
162	11q terminal deletion		Jacobsen syndrome	Diagnostic
163	del(22)(q13)		Chromosome 22q13.3 Deletion Syndrome	Diagnostic
164	t(12;21)(p13;q22)		Acute Lymphoblastic Leukemia	Diagnostic
165	t(14;19)(q32;p13)		Acute Lymphoblastic Leukemia	Diagnostic
166	t(7;12)(q34;p13)		Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
167	Trisomy 18		Trisomy 18	Diagnostic
168	15q13.3 microdeletion		15q13.3 microdeletion syndrome	Diagnostic
169	del(16)(p11.2)		16p11.2 deletion syndrome	Diagnostic
170	17q23.1q23.2 microdeletion		17q23.1q23.2 microdeletion syndrome	Diagnostic
171	t(5;14)(q35;q32.2)		Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
172	t(6;11)(q13;q12)		Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
172	t(6;11)(q13;q12)		Acute Lymphoblastic Leukemia	Diagnostic
173	t(8;12)(q13;p13)		Acute Myeloid Leukemia	Diagnostic
173	t(8;12)(q13;p13)		Somatic T Cell Acute Lymphoblastic Leukemia	Diagnostic
173	t(8;12)(q13;p13)		Acute Lymphoblastic Leukemia	Diagnostic
174	t(1;2)(q25;p23)		Anaplastic large cell lymphoma	Diagnostic
175	t(14;15)(q32;q11)		Diffuse Large B Cell Lymphoma	Diagnostic
176	t(14;16)(q32;q23)		Multiple Myeloma	Diagnostic
177	t(2;19)(p12;q13.3)		Chronic Lymphocytic Leukemia	Diagnostic
178	t(2;17)(p23;q23)		Anaplastic large cell lymphoma	Diagnostic
179	t(2;5)(p23;q35)		Anaplastic large cell lymphoma	Diagnostic
180	t(2;6)(p12;p25)		Multiple Myeloma	Diagnostic
180	t(2;6)(p12;p25)		Therapy Related Myelodysplastic Syndrome	Diagnostic
181	t(6;14)(p25;q32)		Multiple Myeloma	Diagnostic
181	t(6;14)(p25;q32)		Therapy Related Myelodysplastic Syndrome	Diagnostic
