biomarker_type	id	name	hmdb_id	conditions	indication_types	concentration	age	sex	biofluid	citation
Chemical	519	Cotinine	HMDB0001046	Normal	Exposure	0 uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Cotinine Exposure	Exposure	0.012 (0.0100-0.014) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Normal	Exposure	0.00035 (0.00028-0.00044) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Cotinine Exposure	Exposure	0.0087 (0.0060-0.011) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	519	Cotinine	HMDB0001046	Normal	Exposure	0 uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	573	Molybdenum	HMDB0001302	Molybdenum Exposure	Exposure	0.15 (0.14-0.17) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	573	Molybdenum	HMDB0001302	Normal	Exposure	0.050 (0.048-0.051) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	573	Molybdenum	HMDB0001302	Molybdenum Exposure	Exposure	0.14 (0.13-0.15) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	573	Molybdenum	HMDB0001302	Normal	Exposure	0.046 (0.044-0.048) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	573	Molybdenum	HMDB0001302	Molybdenum Exposure	Exposure	0.15 (0.13-0.15) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	573	Molybdenum	HMDB0001302	Normal	Exposure	0.047 (0.045-0.049) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	621	Thiocyanate	HMDB0001453	Thiocyanate Exposure	Exposure	16.6 (13.1-21.2) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	621	Thiocyanate	HMDB0001453	Normal	Exposure	2.4 (2.3-2.5) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	621	Thiocyanate	HMDB0001453	Thiocyanate Exposure	Exposure	15.7 (13.9-18.2) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	621	Thiocyanate	HMDB0001453	Normal	Exposure	2.4 (2.2-2.5) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	658	m-Coumaric acid	HMDB0001713	Apple Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Peach Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Berries Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Grapefruit Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Grapefruit Juice Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Orange Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Orange Juice Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Citrus Fruits Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Fruits Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Fruit Juices Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Vegetables Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Onion Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Chocolate Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Black Tea Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Herbal Tea Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	658	m-Coumaric acid	HMDB0001713	Wine Consumption	Exposure	5.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Apple Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Peach Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Berries Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Grapefruit Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Grapefruit Juice Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Orange Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Orange Juice Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Citrus Fruits Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Fruits Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Fruit Juices Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Vegetables Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Onion Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Dark Bread Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Cereals Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Potato Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Chocolate Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Coffee Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Black Tea Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Herbal Tea Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	726	Caffeic acid	HMDB0001964	Wine Consumption	Exposure	11.4 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	736	Tungsten	HMDB0001989	Tungsten Exposure	Exposure	0.00027 (0.00025-0.00030) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	736	Tungsten	HMDB0001989	Normal	Exposure	0 umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	736	Tungsten	HMDB0001989	Tungsten Exposure	Exposure	0.00025 (0.00018-0.00033) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	736	Tungsten	HMDB0001989	Normal	Exposure	0 umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	736	Tungsten	HMDB0001989	Tungsten Exposure	Exposure	0.00020 (0.00019-0.00023) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	736	Tungsten	HMDB0001989	Normal	Exposure	0 umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	736	Tungsten	HMDB0001989	Tungsten Exposure	Exposure	0.00022 (0.00018-0.00030) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	736	Tungsten	HMDB0001989	Normal	Exposure	0 umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	780	Apigenin	HMDB0002124	Fruits Consumption	Exposure	0.9 ug/day	NA	Both	Urine, 24-h	NA
Chemical	780	Apigenin	HMDB0002124	Vegetables Consumption	Exposure	0.9 ug/day	NA	Both	Urine, 24-h	NA
Chemical	780	Apigenin	HMDB0002124	Fruits + Vegetables Consumption	Exposure	0.9 ug/day	NA	Both	Urine, 24-h	NA
Chemical	802	Equol	HMDB0002209	Fats Consumption	Exposure	0.11 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	802	Equol	HMDB0002209	Soy Foods Consumption	Exposure	0.11 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	802	Equol	HMDB0002209	Fruits Consumption	Exposure	0.11 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	802	Equol	HMDB0002209	Vegetables Consumption	Exposure	0.11 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	802	Equol	HMDB0002209	Dietary Fibre Consumption	Exposure	0.1 ug/mmol	NA	Both	Urine, spot	NA
Chemical	802	Equol	HMDB0002209	Equol Exposure	Exposure	0.023 (0.020-0.031) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	802	Equol	HMDB0002209	Normal	Exposure	0.0036 (0.0032-0.0041) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	802	Equol	HMDB0002209	Equol Exposure	Exposure	0.024 (0.019-0.035) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	802	Equol	HMDB0002209	Normal	Exposure	0.0035 (0.0032-0.0039) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	802	Equol	HMDB0002209	Equol Exposure	Exposure	0.029 (0.023-0.040) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	802	Equol	HMDB0002209	Normal	Exposure	0.0040 (0.0034-0.0048) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	802	Equol	HMDB0002209	Equol Exposure	Exposure	0.032 (0.023-0.049) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	802	Equol	HMDB0002209	Normal	Exposure	0.0038 (0.0034-0.0043) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	802	Equol	HMDB0002209	Equol Exposure	Exposure	0.034 (0.025-0.057) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	802	Equol	HMDB0002209	Normal	Exposure	0.0039 (0.0035-0.0044) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	802	Equol	HMDB0002209	Equol Exposure	Exposure	0.028 (0.019-0.043) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	802	Equol	HMDB0002209	Normal	Exposure	0.0034 (0.0030-0.0040) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	811	Beta-Cryptoxanthin	HMDB0002268	Green Yellow Vegetables Consumption	Exposure	0.174 umol/L	NA	Both	Serum, fasting and non-fasting	NA
Chemical	811	Beta-Cryptoxanthin	HMDB0002268	Vegetables Consumption	Exposure	0.174 umol/L	NA	Both	Serum, fasting and non-fasting	NA
Chemical	811	Beta-Cryptoxanthin	HMDB0002268	Fruits Consumption	Exposure	0.174 umol/L	NA	Both	Serum, fasting and non-fasting	NA
Chemical	811	Beta-Cryptoxanthin	HMDB0002268	Fruits + Vegetables Consumption	Exposure	141 nmol/L	NA	Both	Plasma, fasting	NA
Chemical	811	Beta-Cryptoxanthin	HMDB0002268	Fruit Juices + Vegetable Juices Consumption	Exposure	0.167 umol/L	Adult: >=18 yrs old	Both	Plasma, non-fasting	NA
Chemical	851	Isorhamnetin	HMDB0002655	Apple Consumption	Exposure	0.5 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	851	Isorhamnetin	HMDB0002655	Peach Consumption	Exposure	0.5 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	851	Isorhamnetin	HMDB0002655	Berries Consumption	Exposure	0.5 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	851	Isorhamnetin	HMDB0002655	Fruits Consumption	Exposure	0.5 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	851	Isorhamnetin	HMDB0002655	Fruit Juices Consumption	Exposure	0.5 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	851	Isorhamnetin	HMDB0002655	Vegetables Consumption	Exposure	0.5 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	851	Isorhamnetin	HMDB0002655	Onion Consumption	Exposure	0.5 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	851	Isorhamnetin	HMDB0002655	Black Tea Consumption	Exposure	0.5 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	851	Isorhamnetin	HMDB0002655	Herbal Tea Consumption	Exposure	0.5 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	856	Naringenin	HMDB0002670	Fruits Consumption	Exposure	221.4 ug/day	NA	Both	Urine, 24-h	NA
Chemical	856	Naringenin	HMDB0002670	Vegetables Consumption	Exposure	221.4 ug/day	NA	Both	Urine, 24-h	NA
Chemical	856	Naringenin	HMDB0002670	Fruits + Vegetables Consumption	Exposure	221.4 ug/day	NA	Both	Urine, 24-h	NA
Chemical	856	Naringenin	HMDB0002670	Grapefruit Consumption	Exposure	9.9 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	856	Naringenin	HMDB0002670	Grapefruit Juice Consumption	Exposure	9.9 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	856	Naringenin	HMDB0002670	Orange Consumption	Exposure	9.9 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	856	Naringenin	HMDB0002670	Orange Juice Consumption	Exposure	9.9 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	856	Naringenin	HMDB0002670	Citrus Fruits Consumption	Exposure	9.9 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	856	Naringenin	HMDB0002670	Fruit Juices Consumption	Exposure	9.9 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	887	Nitrate	HMDB0002878	Nitrate Exposure	Exposure	224.4 (211.6-242.6) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	887	Nitrate	HMDB0002878	Normal	Exposure	86.1 (82.5-90.1) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	887	Nitrate	HMDB0002878	Nitrate Exposure	Exposure	249.9 (213.4-279.1) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	887	Nitrate	HMDB0002878	Normal	Exposure	87.2 (82.6-92.0) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	919	Chlorogenic acid	HMDB0003164	Peach Consumption	Exposure	4.2 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	919	Chlorogenic acid	HMDB0003164	Berries Consumption	Exposure	4.2 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	919	Chlorogenic acid	HMDB0003164	Fruits Consumption	Exposure	4.2 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	919	Chlorogenic acid	HMDB0003164	Fruit Juices Consumption	Exposure	4.2 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	919	Chlorogenic acid	HMDB0003164	Vegetables Consumption	Exposure	4.2 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	919	Chlorogenic acid	HMDB0003164	Potato Consumption	Exposure	4.2 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	919	Chlorogenic acid	HMDB0003164	Coffee Consumption	Exposure	4.2 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	919	Chlorogenic acid	HMDB0003164	Black Tea Consumption	Exposure	4.2 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	919	Chlorogenic acid	HMDB0003164	Herbal Tea Consumption	Exposure	4.2 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	919	Chlorogenic acid	HMDB0003164	Wine Consumption	Exposure	4.2 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	925	Genistein	HMDB0003217	Fats Consumption	Exposure	2.41 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	925	Genistein	HMDB0003217	Soy Foods Consumption	Exposure	2.41 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	925	Genistein	HMDB0003217	Fruits Consumption	Exposure	2.41 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	925	Genistein	HMDB0003217	Vegetables Consumption	Exposure	2.41 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	925	Genistein	HMDB0003217	Dietary Fibre Consumption	Exposure	7.9 ug/mmol	NA	Both	Urine, spot	NA
Chemical	925	Genistein	HMDB0003217	Genistein Exposure	Exposure	0.36 (0.26-0.46) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	925	Genistein	HMDB0003217	Normal	Exposure	0.015 (0.013-0.016) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	925	Genistein	HMDB0003217	Genistein Exposure	Exposure	0.18 (0.16-0.21) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	925	Genistein	HMDB0003217	Normal	Exposure	0.013 (0.012-0.014) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	925	Genistein	HMDB0003217	Genistein Exposure	Exposure	0.31 (0.19-0.47) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	925	Genistein	HMDB0003217	Normal	Exposure	0.013 (0.011-0.015) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	925	Genistein	HMDB0003217	Genistein Exposure	Exposure	0.21 (0.16-0.26) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	925	Genistein	HMDB0003217	Normal	Exposure	0.012 (0.011-0.013) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	925	Genistein	HMDB0003217	Genistein Exposure	Exposure	0.24 (0.17-0.31) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	925	Genistein	HMDB0003217	Normal	Exposure	0.012 (0.011-0.013) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	925	Genistein	HMDB0003217	Genistein Exposure	Exposure	0.16 (0.14-0.21) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	925	Genistein	HMDB0003217	Normal	Exposure	0.0093 (0.0074-0.012) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	936	Phloretin	HMDB0003306	Fruits Consumption	Exposure	62.7 ug/day	NA	Both	Urine, 24-h	NA
Chemical	936	Phloretin	HMDB0003306	Vegetables Consumption	Exposure	62.7 ug/day	NA	Both	Urine, 24-h	NA
Chemical	936	Phloretin	HMDB0003306	Fruits + Vegetables Consumption	Exposure	62.7 ug/day	NA	Both	Urine, 24-h	NA
Chemical	936	Phloretin	HMDB0003306	Apple Consumption	Exposure	0.73 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	936	Phloretin	HMDB0003306	Peach Consumption	Exposure	0.73 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	936	Phloretin	HMDB0003306	Berries Consumption	Exposure	0.73 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	936	Phloretin	HMDB0003306	Grapefruit Consumption	Exposure	0.73 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	936	Phloretin	HMDB0003306	Grapefruit Juice Consumption	Exposure	0.73 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	936	Phloretin	HMDB0003306	Orange Consumption	Exposure	0.73 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	936	Phloretin	HMDB0003306	Orange Juice Consumption	Exposure	0.73 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	936	Phloretin	HMDB0003306	Citrus Fruits Consumption	Exposure	0.73 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	936	Phloretin	HMDB0003306	Fruit Juices Consumption	Exposure	0.73 umol/day	Adult: >=18 yrs old	Both	Urine, 24-h	NA
Chemical	937	Daidzein	HMDB0003312	Fats Consumption	Exposure	5.57 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	937	Daidzein	HMDB0003312	Soy Foods Consumption	Exposure	5.57 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	937	Daidzein	HMDB0003312	Fruits Consumption	Exposure	5.57 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	937	Daidzein	HMDB0003312	Vegetables Consumption	Exposure	5.57 nmol/mg	Elderly: 65-100+ yrs old	Both	Urine, spot	NA
Chemical	937	Daidzein	HMDB0003312	Dietary Fibre Consumption	Exposure	17.2 ug/mmol	NA	Both	Urine, spot	NA
Chemical	970	Mercury	HMDB0003625	Mercury Exposure	Exposure	0.00062 (0.00051-0.00070) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	970	Mercury	HMDB0003625	Normal	Exposure	0 umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	970	Mercury	HMDB0003625	Mercury Exposure	Exposure	0.00091 (0.00083-0.00100) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	970	Mercury	HMDB0003625	Normal	Exposure	0.00016 (0.00015-0.00017) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	970	Mercury	HMDB0003625	Mercury Exposure	Exposure	0.00099 (0.00084-0.0013) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	970	Mercury	HMDB0003625	Normal	Exposure	0.00021 (0.00019-0.00023) umol/mmol creatinine	All	Both	Urine	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	970	Mercury	HMDB0003625	Mercury Exposure	Exposure	0.0026 (0.0024-0.0028) uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
Chemical	970	Mercury	HMDB0003625	Normal	Exposure	0 uM	All	Both	Serum	National Health and Nutrition Examination Survey (NHANES Survey) 2019
