id	name	hmdb_id	conditions	indication_types	concentration	age	sex	biofluid	citation
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Pyruvate Dehydrogenase Phosphatase Deficiency	Diagnostic	1800.0 (0-4190.0) uM	Infant	Male	Blood	Robinson, B. H. & Sherwood, W. G. Pyruvate dehydrogenase phosphatase deficiency: a cause of congenital chronic lactic acidosis in infancy. Pediatr Res 9, 935-939 (1975).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	150.0 (0-150.0) uM	Unknown	Unknown	Blood	Robinson, B. H. & Sherwood, W. G. Pyruvate dehydrogenase phosphatase deficiency: a cause of congenital chronic lactic acidosis in infancy. Pediatr Res 9, 935-939 (1975).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Long Chain 3 Hydroxyacyl Co A Dehydrogenase Deficiency	Diagnostic	140.0 (80.0-200.0) uM	Infant: 1 wk-2 yrs old	Unknown	Blood	Pubmed_ID: 11489939
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	2.6e+03 (260.0-5.0e+03) uM	Infant: 1 wk-2 yrs old	Unknown	Blood	Pubmed_ID: 11489939
6	(R)-3-Hydroxybutyric acid	HMDB0000011	3 Hydroxyacyl Co A Dehydrogenase Deficiency	Diagnostic	1.5e+03 (200.0-2.8e+03) uM	Infant: 1 wk-2 yrs old	Female	Blood	Pubmed_ID: 11241047
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	170.0 (60.0-280.0) uM	Children: 2-17 yrs old	Both	Blood	Pubmed_ID: 26079780
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Preeclampsia/Eclampsia	Diagnostic	31.6 uM	Adult: >=18 yrs old	Female	Blood	Pubmed_ID: 22494326
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	86.0 uM	Adult: >=18 yrs old	Both	Blood	Ozand, P. T., Hawkins, R. L., Collins, R. M. Jr, Tildon, J. T. & Cornblath, M. A micro-autoanalytic procedure developed for the determination of ketone bodies, gluconeogenic amino acids, pyruvate, lactate, and glucose in metabolic studies. Biochem Med 14, 170-183 (1975).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Diagnostic	64.0 uM	Infant: 1 wk-2 yrs old	Female	Blood	Pubmed_ID: 12072887
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Pregnancy	Diagnostic	27.0 (0-207.0) uM	Adult	Female	Blood	Pubmed_ID: 22494326
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	150.0 (46.5-150.0) uM	Unknown	Unknown	Blood	Burns, S. F., Broom, D. R., Miyashita, M., Ueda, C. & Stensel, D. J. Increased postprandial triacylglycerol concentrations following resistance exercise. Med Sci Sports Exerc 38, 527-533 (2006).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Carnitine Palmitoyltransferase I Deficiency	Diagnostic	100.0 (-2.4e+03-100.0) uM	Children: 2-17 yrs old	Male	Blood	Pubmed_ID: 11286380
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	1.8e+03 (500.0-3.0e+03) uM	Children: 2-17 yrs old	Male	Blood	Pubmed_ID: 9337379
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Obesity	Diagnostic	235.0 (218.0-252.0) uM	Adult	Female	Blood	Vice, E., Privette, J. D., Hickner, R. C. & Barakat, H. A. Ketone body metabolism in lean and obese women. Metabolism 54, 1542-1545 (2005).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	100.0 (10.0-190.0) uM	Adult	Female	Blood	Jovanovic, L., Metzger, B. E., Knopp, R. H., conley, M. R., Park, E., Lee, Y. J., Simpson, J. L., Holmes, L., Aarons, J. H. & Mills, J. L. The Diabetes in Early Pregnancy Study: beta-hydroxybutyrate levels in type 1 diabetic pregnancy compared with normal pregnancy. NICHD-Diabetes in Early Pregnancy Study Group (DIEP). National Institute of Child Health and Development. Diabetes Care 21, 1978-1984 (1998).
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Schizophrenia	Diagnostic	17.6 (13.8-21.4) uM	Adult	Both	Blood	Pubmed_ID: 25004141
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Normal	Diagnostic	76.9 (10.6-143.2) uM	Adult	Both	Blood	Pubmed_ID: 21359215
6	(R)-3-Hydroxybutyric acid	HMDB0000011	Diabetes Mellitus Type 2	Diagnostic	1.4e+03 (1.3e+03-1.5e+03) uM	Adult: >=18 yrs old	Both	Blood	Sheikh-Ali, M., Karon, B. S., Basu, A., Kudva, Y. C., Muller, L. A., Xu, J., Schwenk, W. F. & Miles, J. M. Can serum beta-hydroxybutyrate be used to diagnose diabetic ketoacidosis? Diabetes Care 31, 643-647 (2008).
7	Deoxyuridine	HMDB0000012	Eosinophilic Esophagitis	Diagnostic	1.2 (0.20-2.2) umol/mmol creatinine	Children	Unknown	Urine	Mordechai, Hien, and David S. Wishart
7	Deoxyuridine	HMDB0000012	Normal	Diagnostic	0.30 (0-0.30) umol/mmol creatinine	Infant	Both	Urine	Pubmed_ID: 30817767
9	Cortexolone	HMDB0000015	11 Beta Hydroxylase Deficiency	Diagnostic	1.8 uM	Infant: 1 wk-2 yrs old	Female	Blood	Pubmed_ID: 8933406
9	Cortexolone	HMDB0000015	Normal	Diagnostic	0.060 uM	Newborn: 0 day-1 wk	Both	Blood	Pubmed_ID: 8933406
10	Deoxycorticosterone	HMDB0000016	Congenital Adrenal Hyperplaia due to 17-alpha-Hydroxylase Deficiency	Diagnostic	0.0012 uM	Adult: >=18 yrs old	Female	Blood	Pubmed_ID: 26161337
10	Deoxycorticosterone	HMDB0000016	Normal	Diagnostic	0.073 uM	Adult: >=18 yrs old	Female	Blood	Pakravan, P., Kenny, F. M., Depp, R. & Allen, A. C. Familial congenital absence of adrenal glands; evaluation of glucocorticoid, mineralocorticoid, and estrogen metabolism in the perinatal period. J Pediatr 84, 74-78 (1974).
11	4-Pyridoxic acid	HMDB0000017	Vitamin B6 Consumption	Exposure	2.36 umol/day	NA	Both	Urine, 24-h	NA
12	Alpha-ketoisovaleric acid	HMDB0000019	Maple Syrup Urine Disease	Diagnostic	550.0 (300.0-800.0) umol/mmol creatinine	Adult: >=18 yrs old	Both	Urine	MetaGene: Metabolic & Genetic Information Center
12	Alpha-ketoisovaleric acid	HMDB0000019	Normal	Diagnostic	0.50 (0.20-1.1) umol/mmol creatinine	Adult: >=18 yrs old	Both	Urine	Pubmed_ID: 24023812
12	Alpha-ketoisovaleric acid	HMDB0000019	Maple Syrup Urine Disease	Diagnostic	237.0 (223.0-251.0) uM	Children	Female	Blood	Peritoneal dialysis in maple-syrup-urine disease: Studies on branched-chain amino and keto acids. Eur J Pediatr (1980) 134: 57.
12	Alpha-ketoisovaleric acid	HMDB0000019	Normal	Diagnostic	14.0 (0-28.0) uM	Children	Both	Blood	Hoffmann, G. F., Meier-Augenstein, W., Stockler, S., Surtees, R., Rating, D. & Nyhan, W. L. Physiology and pathophysiology of organic acids in cerebrospinal fluid. J Inherit Metab Dis 16, 648-669 (1993).
13	p-Hydroxyphenylacetic acid	HMDB0000020	Phenylketonuria	Diagnostic	44.6 (0-110.7) umol/mmol creatinine	Children	Both	Urine	Pubmed_ID: 4837567
13	p-Hydroxyphenylacetic acid	HMDB0000020	Normal	Diagnostic	185.8 (75.1-185.8) umol/mmol creatinine	Infant	Male	Urine	BC Children's Hospital Biochemical Genetics Lab
13	p-Hydroxyphenylacetic acid	HMDB0000020	Eosinophilic Esophagitis	Diagnostic	18.8 (0-40.4) umol/mmol creatinine	Children	Unknown	Urine	Mordechai, Hien, and David S. Wishart
13	p-Hydroxyphenylacetic acid	HMDB0000020	Normal	Diagnostic	109.3 (69.0-109.3) umol/mmol creatinine	Children	Both	Urine	BC Children's Hospital Biochemical Genetics Lab
13	p-Hydroxyphenylacetic acid	HMDB0000020	Lung Cancer	Diagnostic	16.0 (1.00-31.0) umol/mmol creatinine	Unknown	Both	Urine	Wishart, D. S., Knox, C., Guo, A. C., Eisner, R., Young, N., Gautam, B., Hau, D. D., Psychogios, N., Dong, E., Bouatra, S., Mandal, R., Sinelnikov, I., Xia, J., Jia, L., Cruz, J. A., Lim, E., Sobsey, C. A., Shrivastava, S., Huang, P., Liu, P., Fang, L., Peng, J., Fradette, R., Cheng, D., Tzur, D., Clements, M., Lewis, A., De Souza, A., Zuniga, A., Dawe, M., Xiong, Y., Clive, D., Greiner, R., Nazyrova, A., Shaykhutdinov, R., Li, L., Vogel, H. J. & Forsythe, I. HMDB: a knowledgebase for the human metabolome. Nucleic Acids Res 37, D603-D610 (2009).
13	p-Hydroxyphenylacetic acid	HMDB0000020	Normal	Diagnostic	51.7 (1.7-101.7) umol/mmol creatinine	Adult	Both	Urine	BC Children's Hospital Biochemical Genetics Lab
13	p-Hydroxyphenylacetic acid	HMDB0000020	Schizophrenia	Diagnostic	0.31 (0.30-0.32) uM	Adult	Unknown	Cerebrospinal_Fluid	Kobayashi, K., Koide, Y., Yoshino, K. & Shohmori, T. [P-hydroxyphenylacetic acid concentrations in cerebrospinal fluid]. No To Shinkei 34, 769-774 (1982).
13	p-Hydroxyphenylacetic acid	HMDB0000020	Normal	Diagnostic	0.050 (0.043-0.057) uM	Adult	Unknown	Cerebrospinal_Fluid	Kobayashi, K., Koide, Y., Yoshino, K. & Shohmori, T. [P-hydroxyphenylacetic acid concentrations in cerebrospinal fluid]. No To Shinkei 34, 769-774 (1982).
15	3-Methoxytyramine	HMDB0000022	Parkinson's Disease	Diagnostic	0.00050 (0.00020-0.00080) uM	Adult	Unknown	Cerebrospinal_Fluid	Loeffler, D. A., LeWitt, P. A., DeMaggio, A. J., Juneau, P. L., Milbury, P. E. & Matson, W. R. Markers of dopamine depletion and compensatory response in striatum and cerebrospinal fluid. J Neural Transm Park Dis Dement Sect 9, 45-53 (1995).
15	3-Methoxytyramine	HMDB0000022	Normal	Diagnostic	0.0014 (0.0012-0.0016) uM	Adult	Unknown	Cerebrospinal_Fluid	Loeffler, D. A., LeWitt, P. A., DeMaggio, A. J., Juneau, P. L., Milbury, P. E. & Matson, W. R. Markers of dopamine depletion and compensatory response in striatum and cerebrospinal fluid. J Neural Transm Park Dis Dement Sect 9, 45-53 (1995).
16	(S)-3-Hydroxyisobutyric acid	HMDB0000023	Diabetes Mellitus Type 2	Diagnostic	38.0 (33.0-43.0) uM	Adult: >=18 yrs old	Both	Blood	Avogaro, A. & Bier, D. M. Contribution of 3-hydroxyisobutyrate to the measurement of 3-hydroxybutyrate in human plasma: comparison of enzymatic and gas-liquid chromatography-mass spectrometry assays in normal and in diabetic subjects. J Lipid Res 30, 1811-1817 (1989).
16	(S)-3-Hydroxyisobutyric acid	HMDB0000023	Normal	Diagnostic	21.0 (19.0-23.0) uM	Adult: >=18 yrs old	Both	Blood	Avogaro, A. & Bier, D. M. Contribution of 3-hydroxyisobutyrate to the measurement of 3-hydroxybutyrate in human plasma: comparison of enzymatic and gas-liquid chromatography-mass spectrometry assays in normal and in diabetic subjects. J Lipid Res 30, 1811-1817 (1989).
17	3-O-Sulfogalactosylceramide (d18:1/24:0)	HMDB0000024	Mild Metachromatic Leukodystrophy	Diagnostic	12.7 (1.2-24.2) umol/mmol creatinine	Adult: >=18 yrs old	Both	Urine	Natowicz, M. R., Prence, E. M., Chaturvedi, P. & Newburg, D. S. Urine sulfatides and the diagnosis of metachromatic leukodystrophy. Clin Chem 42, 232-238 (1996).
17	3-O-Sulfogalactosylceramide (d18:1/24:0)	HMDB0000024	Normal	Diagnostic	0.20 (0.070-0.34) umol/mmol creatinine	Adult: >=18 yrs old	Both	Urine	Natowicz, M. R., Prence, E. M., Chaturvedi, P. & Newburg, D. S. Urine sulfatides and the diagnosis of metachromatic leukodystrophy. Clin Chem 42, 232-238 (1996).
19	Tetrahydrobiopterin	HMDB0000027	Myocardial Infarction	Diagnostic	0.0044 (0.0037-0.0051) uM	Adult	Both	Blood	Yada, T., Kaji, S., Akasaka, T., Mochizuki, S., Ogasawara, Y., Tanemoto, K., Yoshida, K. & Kajiya, F. Changes of asymmetric dimethylarginine, nitric oxide, tetrahydrobiopterin, and oxidative stress in patients with acute myocardial infarction by medical treatments. Clin Hemorheol Microcirc 37, 269-276 (2007).
19	Tetrahydrobiopterin	HMDB0000027	Normal	Diagnostic	0.011 (0.010-0.012) uM	Adult	Both	Blood	Ueda, S., Matsuoka, H., Miyazaki, H., Usui, M., Okuda, S. & Imaizumi, T. Tetrahydrobiopterin restores endothelial function in long-term smokers. J Am Coll Cardiol 35, 71-75 (2000).
20	Biotin	HMDB0000030	Eosinophilic Esophagitis	Diagnostic	58.2 (36.3-80.2) umol/mmol creatinine	Children: 2-17 yrs old	Unknown	Urine	Mordechai, Hien, and David S. Wishart
20	Biotin	HMDB0000030	Normal	Diagnostic	0.014 (0.0020-0.044) umol/mmol creatinine	Children: 2-17 yrs old	Both	Urine	Geigy Scientific Tables, 8th Rev edition, pp. 130. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp. Basel, Switzerland c1981-1992.
20	Biotin	HMDB0000030	Head Injury	Diagnostic	0.023 (0.022-0.023) uM	Unknown	Unknown	Cerebrospinal_Fluid	Pubmed_ID: 18996865
20	Biotin	HMDB0000030	Normal	Diagnostic	0.00050 (0.00030-0.00070) uM	Adult	Unknown	Cerebrospinal_Fluid	Livaniou, E., Nyalala, J. O., Anagnostouli, M., Papageorgiou, C., Evangelatos, G. P. & Ithakissios, D. S. Determination of biotin levels in cerebrospinal fluid samples. J Pharm Biomed Anal 21, 875-879 (1999).
23	Carnosine	HMDB0000033	Carnosinuria	Diagnostic	84.8 (56.6-113.1) umol/mmol creatinine	Adult	Unknown	Urine	Furst, P. Amino acid metabolism in uremia. J Am Coll Nutr 8, 310-323 (1989).
23	Carnosine	HMDB0000033	Normal	Diagnostic	4.0 (0-4.0) umol/mmol creatinine	Adult	Unknown	Urine	Mayo Clinic
23	Carnosine	HMDB0000033	Alzheimer's Disease	Diagnostic	18.8 (8.5-29.1) umol/mmol creatinine	Adult	Both	Urine	Fonteh, A. N., Harrington, R. J., Tsai, A., Liao, P. & Harrington, M. G. Free amino acid and dipeptide changes in the body fluids from Alzheimer's disease subjects. Amino Acids 32, 213-224 (2007).
23	Carnosine	HMDB0000033	Normal	Diagnostic	1.8 (0-22.5) umol/mmol creatinine	Adult	Both	Urine	Pubmed_ID: 24023812
24	Adenine	HMDB0000034	Eosinophilic Esophagitis	Diagnostic	7.2 (0.14-14.2) umol/mmol creatinine	Children: 2-17 yrs old	Unknown	Urine	Mordechai, Hien, and David S. Wishart
24	Adenine	HMDB0000034	Normal	Diagnostic	0.100 (-14.0-0.100) umol/mmol creatinine	Infant: 1 wk-2 yrs old	Both	Urine	Pubmed_ID: 30817767
24	Adenine	HMDB0000034	Lewy Body Dementia	Diagnostic	0.37 (0.16-0.58) uM	Adult: >=18 yrs old	Both	Saliva	Pubmed_ID: 23857558
24	Adenine	HMDB0000034	Normal	Diagnostic	1.1 (0.22-2.1) uM	Adult: >=18 yrs old	Female	Saliva	Pubmed_ID: 23857558
26	Aldosterone	HMDB0000037	Lipoid Congenital Adrenal Hyperplasia	Diagnostic	5.6e-05 umol/mmol creatinine	Infant: 1 wk-2 yrs old	Female	Urine	Pubmed_ID: 3841304
26	Aldosterone	HMDB0000037	Normal	Diagnostic	0.0021 umol/mmol creatinine	Infant: 1 wk-2 yrs old	Unknown	Urine	Mayo Clinic
26	Aldosterone	HMDB0000037	Antenatal Bartter Syndrome Type II	Diagnostic	0.0033 uM	Newborn: 0 day-1 wk	Female	Blood	Pubmed_ID: 26069767
26	Aldosterone	HMDB0000037	Normal	Diagnostic	0.0017 uM	Newborn: 0 day-1 wk	Both	Blood	Adachi, M., Asakura, Y., Sato, Y., Tajima, T., Nakajima, T., Yamamoto, T. & Fujieda, K. Novel SLC12A1 (NKCC2) mutations in two families with Bartter syndrome type 1. Endocr J 54, 1003-1007 (2007).
26	Aldosterone	HMDB0000037	Type 4B Bartter Syndrome	Diagnostic	0.042 uM	Newborn: 0 day-1 wk	Female	Blood	Pubmed_ID: 18310267
26	Aldosterone	HMDB0000037	Normal	Diagnostic	0.0025 uM	Newborn: 0 day-1 wk	Female	Blood	Kim, C. J., Lin, L., Huang, N., Quigley, C. A., AvRuskin, T. W., Achermann, J. C. & Miller, W. L. Severe combined adrenal and gonadal deficiency caused by novel mutations in the cholesterol side chain cleavage enzyme, P450scc. J Clin Endocrinol Metab 93, 696-702 (2008).
26	Aldosterone	HMDB0000037	Congenital Adrenal Hyperplaia due to 17-alpha-Hydroxylase Deficiency	Diagnostic	1.1e-05 uM	Adolescent:13-18 yrs old	Female	Blood	Pubmed_ID: 16477341
26	Aldosterone	HMDB0000037	Normal	Diagnostic	0.00021 uM	Adolescent:13-18 yrs old	Unknown	Blood	Pubmed_ID: 8142230
26	Aldosterone	HMDB0000037	Antenatal Bartter Syndrome Type 1	Diagnostic	0.0036 uM	Newborn: 0 day-1 wk	Female	Blood	Adachi, M., Asakura, Y., Sato, Y., Tajima, T., Nakajima, T., Yamamoto, T. & Fujieda, K. Novel SLC12A1 (NKCC2) mutations in two families with Bartter syndrome type 1. Endocr J 54, 1003-1007 (2007).
26	Aldosterone	HMDB0000037	Congenital Adrenal Insufficiency with 46,XY Sex Reversal	Diagnostic	0.00013 uM	Newborn: 0 day-1 wk	Female	Blood	Kim, C. J., Lin, L., Huang, N., Quigley, C. A., AvRuskin, T. W., Achermann, J. C. & Miller, W. L. Severe combined adrenal and gonadal deficiency caused by novel mutations in the cholesterol side chain cleavage enzyme, P450scc. J Clin Endocrinol Metab 93, 696-702 (2008).
26	Aldosterone	HMDB0000037	Corticosterone Methyloxidase Type I Deficiency	Diagnostic	7.8e-05 uM	Infant: 1 wk-2 yrs old	Female	Blood	Pubmed_ID: 27125267
26	Aldosterone	HMDB0000037	Normal	Diagnostic	0.00049 uM	Infant: 1 wk-2 yrs old	Unknown	Blood	Pubmed_ID: 19861545
26	Aldosterone	HMDB0000037	Lipoid Congenital Adrenal Hyperplasia	Diagnostic	6.9e-05 (-0.00035-6.9e-05) uM	Infant: 1 wk-2 yrs old	Female	Blood	Pubmed_ID: 9077535
27	Dihydrobiopterin	HMDB0000038	Kidney Disease	Diagnostic	0.064 (0.059-0.068) uM	Adult	Both	Blood	Yokoyama, K., Tajima, M., Yoshida, H., Nakayama, M., Tokutome, G., Sakagami, H. & Hosoya, T. Plasma pteridine concentrations in patients with chronic renal failure. Nephrol Dial Transplant 17, 1032-1036 (2002).
27	Dihydrobiopterin	HMDB0000038	Normal	Diagnostic	0.0060 (0.0057-0.0063) uM	Adult	Both	Blood	Yokoyama, K., Tajima, M., Yoshida, H., Nakayama, M., Tokutome, G., Sakagami, H. & Hosoya, T. Plasma pteridine concentrations in patients with chronic renal failure. Nephrol Dial Transplant 17, 1032-1036 (2002).
28	Butyric acid	HMDB0000039	A.I.D.S.	Diagnostic	0.18 (0.14-0.22) umol/mmol creatinine	Adult: >=18 yrs old	Both	Urine	Stein, T. P., Koerner, B., Schluter, M. D., Leskiw, M. J., Gaprindachvilli, T., Richards, E. W., Cope, F. O. & Condolucci, D. Weight loss, the gut and the inflammatory response in aids patients. Cytokine 9, 143-147 (1997).
28	Butyric acid	HMDB0000039	Normal	Diagnostic	42.0 (21.0-81.0) umol/mmol creatinine	Adult: >=18 yrs old	Both	Urine	Geigy Scientific Tables, 8th Rev edition, pp. 130. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp. Basel, Switzerland c1981-1992.
28	Butyric acid	HMDB0000039	Ulcerative Colitis	Diagnostic	0.0019 (0.000045-0.015) nmol/g wet feces	Unknown	Unknown	Feces	Pubmed_ID: 23867873
28	Butyric acid	HMDB0000039	Normal	Diagnostic	8170.0 (4440.0-11900.0) nmol/g wet feces	Adult	Both	Feces	Pubmed_ID: 25479871
